time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month,hour,expected,estimated_std,z_score,is_zscore_anomaly,is_low_traffic,abs_deviation,is_volume_anomaly,is_outage,historical_max,is_spike,actual_change,expected_change,change_deviation,change_std,change_z_score,is_slope_anomaly,anomaly_score,severity,is_anomalous
00h,9,12,11,6.42,4.85,0,8.288499999999999,3.470383024009502,0.20502059717257676,False,True,0.7115000000000009,False,False,12.0,False,,,,,,False,0,NORMAL,False
01h,3,5,1,1.85,1.92,1,2.285,1.7555317333123506,0.40728400770684586,False,True,0.7149999999999999,False,False,5.0,False,-6.0,-6.003499999999999,0.0034999999999989484,3.07719027685972,0.0011374012281004302,False,0,NORMAL,False
02h,1,0,0,0.28,0.82,2,0.289,1.0,0.7110000000000001,False,True,0.7110000000000001,False,False,0.82,False,-2.0,-1.9960000000000002,-0.0039999999999997815,3.0,-0.0013333333333332604,False,0,NORMAL,False
03h,1,0,0,0.42,0.46,3,0.241,1.0,0.759,False,True,0.759,False,False,0.46,False,0.0,-0.04799999999999999,0.04799999999999999,3.0,0.015999999999999997,False,0,NORMAL,False
04h,0,0,1,0.42,0.21,4,0.4285,1.0,-0.4285,False,True,0.4285,False,False,1.0,False,-1.0,0.1875,-1.1875,3.0,-0.3958333333333333,False,0,NORMAL,False
05h,1,1,2,1.28,0.75,5,1.2714999999999999,1.0,-0.27149999999999985,False,True,0.27149999999999985,False,False,2.0,False,1.0,0.8429999999999999,0.15700000000000014,3.0,0.05233333333333338,False,0,NORMAL,False
06h,1,1,5,2.85,2.28,6,2.875,1.6684998251922794,-1.1237639774903323,False,True,1.875,False,False,5.0,False,0.0,1.6035000000000001,-1.6035000000000001,3.0,-0.5345000000000001,False,0,NORMAL,False
07h,2,3,9,5.57,5.21,7,5.823499999999999,2.4790387922203503,-1.5423316537033624,False,False,3.8234999999999992,False,False,9.0,False,1.0,2.9484999999999992,-1.9484999999999992,3.0,-0.6494999999999997,False,0,NORMAL,False
08h,0,1,18,8.71,10.42,8,9.918,6.975344077534814,-1.4218653430936072,False,False,9.918,False,True,18.0,False,-2.0,4.0945,-6.0945,4.5861412610893995,-1.3288949583189034,False,2,CRITICAL,True
09h,2,9,30,20.0,19.07,9,20.0675,8.581640771631806,-2.105366617037321,True,False,18.0675,False,False,30.0,False,2.0,10.1495,-8.1495,3.0,-2.7165,False,1,INFO,True
10h,55,51,45,29.42,28.35,10,37.3635,11.31305551122242,1.5589510705136023,False,False,17.636499999999998,False,False,51.0,False,53.0,17.296000000000003,35.70399999999999,15.612306043631094,2.2869139190725214,False,0,NORMAL,False
11h,36,44,38,33.71,28.5,11,35.538,10.661399999999999,0.04333389611120522,False,False,0.4620000000000033,False,False,44.0,False,-19.0,-1.8255000000000052,-17.174499999999995,5.585045508617932,-3.0750868499637303,True,1,INFO,True
12h,51,39,39,27.57,25.42,12,32.176,9.652800000000001,1.9501077407591576,False,False,18.823999999999998,False,False,39.0,False,15.0,-3.3619999999999948,18.361999999999995,3.1354903922672133,5.856181235727782,False,0,NORMAL,False
13h,36,41,43,25.85,24.21,13,32.7575,9.854367897874864,0.3290419064523924,False,False,3.2424999999999997,False,False,43.0,False,-15.0,0.5814999999999984,-15.581499999999998,3.0,-5.193833333333333,True,1,INFO,True
14h,32,35,36,26.14,25.21,14,30.1445,9.04335,0.20517839075121488,False,False,1.8554999999999993,False,False,36.0,False,-4.0,-2.6129999999999995,-1.3870000000000005,4.155441212033527,-0.33377923768562984,False,0,NORMAL,False
15h,51,35,49,28.14,27.71,15,34.6195,10.38585,1.5771939706427494,False,False,16.380499999999998,False,False,49.0,False,19.0,4.475000000000001,14.524999999999999,5.8505697728227,2.4826641787048,False,0,NORMAL,False
16h,41,36,48,27.71,25.64,16,33.923,10.1769,0.6953984022639506,False,False,7.076999999999998,False,False,48.0,False,-10.0,-0.6965000000000003,-9.3035,3.0,-3.1011666666666664,False,0,NORMAL,False
17h,45,30,29,20.42,22.28,17,24.946,7.4838000000000005,2.679654720863732,True,False,20.054,False,False,30.0,False,4.0,-8.977,12.977,6.92105663898223,1.8750027166239636,False,1,INFO,True
18h,32,25,25,21.57,18.28,18,22.291,6.6873,1.4518565041197493,False,False,9.709,False,False,25.0,False,-13.0,-2.655000000000001,-10.344999999999999,3.0,-3.448333333333333,True,1,INFO,True
19h,33,39,42,22.14,18.67,19,29.6095,11.752013657241895,0.28850374913499915,False,False,3.3904999999999994,False,False,42.0,False,1.0,7.3185,-6.3185,8.758169519559058,-0.721440705833485,False,0,NORMAL,False
20h,25,24,34,17.42,18.92,20,23.256,7.492527388449551,0.23276524857133563,False,False,1.7439999999999998,False,False,34.0,False,-8.0,-6.3535,-1.6464999999999996,6.395067760912832,-0.2574640428461978,False,0,NORMAL,False
21h,30,35,34,18.71,17.57,21,25.5055,9.465717088525306,0.47481875466660617,False,False,4.494499999999999,False,False,35.0,False,5.0,2.249500000000001,2.750499999999999,5.614436748241092,0.48989776238225213,False,0,NORMAL,False
22h,28,29,23,15.42,15.64,22,20.086,6.522910904394346,1.2132620107793453,False,False,7.9140000000000015,False,False,29.0,False,-2.0,-5.419500000000003,3.419500000000003,4.004867871311944,0.8538359091681638,False,0,NORMAL,False
23h,11,28,10,9.57,8.75,23,13.1585,9.294475061382792,-0.232234740073515,False,False,2.1585,False,False,28.0,False,-17.0,-6.927499999999998,-10.072500000000002,4.930777491092725,-2.042781289197417,True,1,INFO,True
